IdTCPClient - BeforeBind   // 19:42:54:535 24.10.2022
IdTCPClient - SocketAllocated   // 19:42:54:537 24.10.2022
IdTCPClient - AfterBind   // 19:42:54:537 24.10.2022
Событие: Connecting to 128.65.7.227.   // 19:42:54:537 24.10.2022
Событие: Connected.   // 19:42:55:522 24.10.2022
Установлено соединение c сокетом: 128.65.7.227:7777   // 19:42:55:524 24.10.2022
Событие: Disconnecting.   // 19:43:00:167 24.10.2022
Отсоединение   // 19:43:00:168 24.10.2022
Событие: Disconnected.   // 19:43:00:170 24.10.2022
Ошибка при закрытии сокета: Thread Error: Неверный дескриптор (6)   // 19:43:00:172 24.10.2022

// О программе
